title,firstname,lastname,party,state,district,in_office,phone,bioguide_id
Rep,Don,Young,R,AK,0,1,202-225-5765,Y000033
Rep,Bradley,Byrne,R,AL,1,1,202-225-4931,B001289
Rep,Martha,Roby,R,AL,2,1,202-225-2901,R000591
Rep,Mike,Rogers,R,AL,3,1,202-225-3261,R000575
Rep,Robert,Aderholt,R,AL,4,1,202-225-4876,A000055
Rep,Mo,Brooks,R,AL,5,1,202-225-4801,B001274
Rep,Gary,Palmer,R,AL,6,1,202-225-4921,P000609
Rep,Terri,Sewell,D,AL,7,1,202-225-2665,S001185
Rep,Eric,Crawford,R,AR,1,1,202-225-4076,C001087
Rep,J.,Hill,R,AR,2,1,202-225-2506,H001072
Rep,Steve,Womack,R,AR,3,1,202-225-4301,W000809
Rep,Bruce,Westerman,R,AR,4,1,202-225-3772,W000821
Rep,Aumua Amata,Radewagen,R,AQ,0,1,202-225-8577,R000600
Rep,Ann,Kirkpatrick,D,AZ,1,1,202-225-3361,K000368
Rep,Martha,McSally,R,AZ,2,1,202-225-2542,M001197
Rep,Raúl,Grijalva,D,AZ,3,1,202-225-2435,G000551
Rep,Paul,Gosar,R,AZ,4,1,202-225-2315,G000565
Rep,Matt,Salmon,R,AZ,5,1,202-225-2635,S000018
Rep,David,Schweikert,R,AZ,6,1,202-225-2190,S001183
Rep,Ruben,Gallego,D,AZ,7,1,202-225-4065,G000574
Rep,Trent,Franks,R,AZ,8,1,202-225-4576,F000448
Rep,Kyrsten,Sinema,D,AZ,9,1,202-225-9888,S001191
Rep,Doug,LaMalfa,R,CA,1,1,202-225-3076,L000578
Rep,Jared,Huffman,D,CA,2,1,202-225-5161,H001068
Rep,John,Garamendi,D,CA,3,1,202-225-1880,G000559
Rep,Tom,McClintock,R,CA,4,1,202-225-2511,M001177
Rep,Mike,Thompson,D,CA,5,1,202-225-3311,T000460
Rep,Doris,Matsui,D,CA,6,1,202-225-7163,M001163
Rep,Ami,Bera,D,CA,7,1,202-225-5716,B001287
Rep,Paul,Cook,R,CA,8,1,202-225-5861,C001094
Rep,Jerry,McNerney,D,CA,9,1,202-225-1947,M001166
Rep,Jeff,Denham,R,CA,10,1,202-225-4540,D000612
Rep,Mark,DeSaulnier,D,CA,11,1,202-225-2095,D000623
Rep,Nancy,Pelosi,D,CA,12,1,202-225-4965,P000197
Rep,Barbara,Lee,D,CA,13,1,202-225-2661,L000551
Rep,Jackie,Speier,D,CA,14,1,202-225-3531,S001175
Rep,Eric,Swalwell,D,CA,15,1,202-225-5065,S001193
Rep,Jim,Costa,D,CA,16,1,202-225-3341,C001059
Rep,Michael,Honda,D,CA,17,1,202-225-2631,H001034
Rep,Anna,Eshoo,D,CA,18,1,202-225-8104,E000215
Rep,Zoe,Lofgren,D,CA,19,1,202-225-3072,L000397
Rep,Sam,Farr,D,CA,20,1,202-225-2861,F000030
Rep,David,Valadao,R,CA,21,1,202-225-4695,V000129
Rep,Devin,Nunes,R,CA,22,1,202-225-2523,N000181
Rep,Kevin,McCarthy,R,CA,23,1,202-225-2915,M001165
Rep,Lois,Capps,D,CA,24,1,202-225-3601,C001036
Rep,Stephen,Knight,R,CA,25,1,202-225-1956,K000387
Rep,Julia,Brownley,D,CA,26,1,202-225-5811,B001285
Rep,Judy,Chu,D,CA,27,1,202-225-5464,C001080
Rep,Adam,Schiff,D,CA,28,1,202-225-4176,S001150
Rep,Tony,Cárdenas,D,CA,29,1,202-225-6131,C001097
Rep,Brad,Sherman,D,CA,30,1,202-225-5911,S000344
Rep,Pete,Aguilar,D,CA,31,1,202-225-3201,A000371
Rep,Grace,Napolitano,D,CA,32,1,202-225-5256,N000179
Rep,Ted,Lieu,D,CA,33,1,202-225-3976,L000582
Rep,Xavier,Becerra,D,CA,34,1,202-225-6235,B000287
Rep,Norma,Torres,D,CA,35,1,202-225-6161,T000474
Rep,Raul,Ruiz,D,CA,36,1,202-225-5330,R000599
Rep,Karen,Bass,D,CA,37,1,202-225-7084,B001270
Rep,Linda,Sánchez,D,CA,38,1,202-225-6676,S001156
Rep,Edward,Royce,R,CA,39,1,202-225-4111,R000487
Rep,Lucille,Roybal-Allard,D,CA,40,1,202-225-1766,R000486
Rep,Mark,Takano,D,CA,41,1,202-225-2305,T000472
Rep,Ken,Calvert,R,CA,42,1,202-225-1986,C000059
Rep,Maxine,Waters,D,CA,43,1,202-225-2201,W000187
Rep,Janice,Hahn,D,CA,44,1,202-225-8220,H001063
Rep,Mimi,Walters,R,CA,45,1,202-225-5611,W000820
Rep,Loretta,Sanchez,D,CA,46,1,202-225-2965,S000030
Rep,Alan,Lowenthal,D,CA,47,1,202-225-7924,L000579
Rep,Dana,Rohrabacher,R,CA,48,1,202-225-2415,R000409
Rep,Darrell,Issa,R,CA,49,1,202-225-3906,I000056
Rep,Duncan,Hunter,R,CA,50,1,202-225-5672,H001048
Rep,Juan,Vargas,D,CA,51,1,202-225-8045,V000130
Rep,Scott,Peters,D,CA,52,1,202-225-0508,P000608
Rep,Susan,Davis,D,CA,53,1,202-225-2040,D000598
Rep,Diana,DeGette,D,CO,1,1,202-225-4431,D000197
Rep,Jared,Polis,D,CO,2,1,202-225-2161,P000598
Rep,Scott,Tipton,R,CO,3,1,202-225-4761,T000470
Rep,Ken,Buck,R,CO,4,1,202-225-4676,B001297
Rep,Doug,Lamborn,R,CO,5,1,202-225-4422,L000564
Rep,Mike,Coffman,R,CO,6,1,202-225-7882,C001077
Rep,Ed,Perlmutter,D,CO,7,1,202-225-2645,P000593
Rep,John,Larson,D,CT,1,1,202-225-2265,L000557
Rep,Joe,Courtney,D,CT,2,1,202-225-2076,C001069
Rep,Rosa,DeLauro,D,CT,3,1,202-225-3661,D000216
Rep,James,Himes,D,CT,4,1,202-225-5541,H001047
Rep,Elizabeth,Esty,D,CT,5,1,202-225-4476,E000293
Rep,Eleanor,Norton,D,DC,0,1,202-225-8050,N000147
Rep,John,Carney,D,DE,0,1,202-225-4165,C001083
Rep,Jeff,Miller,R,FL,1,1,202-225-4136,M001144
Rep,Gwen,Graham,D,FL,2,1,202-225-5235,G000575
Rep,Ted,Yoho,R,FL,3,1,202-225-5744,Y000065
Rep,Ander,Crenshaw,R,FL,4,1,202-225-2501,C001045
Rep,Corrine,Brown,D,FL,5,1,202-225-0123,B000911
Rep,Ron,DeSantis,R,FL,6,1,202-225-2706,D000621
Rep,John,Mica,R,FL,7,1,202-225-4035,M000689
Rep,Bill,Posey,R,FL,8,1,202-225-3671,P000599
Rep,Alan,Grayson,D,FL,9,1,202-225-9889,G000556
Rep,Daniel,Webster,R,FL,10,1,202-225-2176,W000806
Rep,Richard,Nugent,R,FL,11,1,202-225-1002,N000185
Rep,Gus,Bilirakis,R,FL,12,1,202-225-5755,B001257
Rep,David,Jolly,R,FL,13,1,202-225-5961,J000296
Rep,Kathy,Castor,D,FL,14,1,202-225-3376,C001066
Rep,Dennis,Ross,R,FL,15,1,202-225-1252,R000593
Rep,Vern,Buchanan,R,FL,16,1,202-225-5015,B001260
Rep,Thomas,Rooney,R,FL,17,1,202-225-5792,R000583
Rep,Patrick,Murphy,D,FL,18,1,202-225-3026,M001191
Rep,Curt,Clawson,R,FL,19,1,202-225-2536,C001102
Rep,Alcee,Hastings,D,FL,20,1,202-225-1313,H000324
Rep,Theodore,Deutch,D,FL,21,1,202-225-3001,D000610
Rep,Lois,Frankel,D,FL,22,1,202-225-9890,F000462
Rep,Debbie,Wasserman Schultz,D,FL,23,1,202-225-7931,W000797
Rep,Frederica,Wilson,D,FL,24,1,202-225-4506,W000808
Rep,Mario,Diaz-Balart,R,FL,25,1,202-225-4211,D000600
Rep,Carlos,Curbelo,R,FL,26,1,202-225-2778,C001107
Rep,Ileana,Ros-Lehtinen,R,FL,27,1,202-225-3931,R000435
Rep,Earl,Carter,R,GA,1,1,202-225-5831,C001103
Rep,Sanford,Bishop,D,GA,2,1,202-225-3631,B000490
Rep,Lynn,Westmoreland,R,GA,3,1,202-225-5901,W000796
Rep,Henry,Johnson,D,GA,4,1,202-225-1605,J000288
Rep,John,Lewis,D,GA,5,1,202-225-3801,L000287
Rep,Tom,Price,R,GA,6,1,202-225-4501,P000591
Rep,Rob,Woodall,R,GA,7,1,202-225-4272,W000810
Rep,Austin,Scott,R,GA,8,1,202-225-6531,S001189
Rep,Doug,Collins,R,GA,9,1,202-225-9893,C001093
Rep,Jody,Hice,R,GA,10,1,202-225-4101,H001071
Rep,Barry,Loudermilk,R,GA,11,1,202-225-2931,L000583
Rep,Rick,Allen,R,GA,12,1,202-225-2823,A000372
Rep,David,Scott,D,GA,13,1,202-225-2939,S001157
Rep,Tom,Graves,R,GA,14,1,202-225-5211,G000560
Rep,Madeleine,Bordallo,D,GU,0,1,202-225-1188,B001245
Rep,Tulsi,Gabbard,D,HI,2,1,202-225-4906,G000571
Rep,Rod,Blum,R,IA,1,1,202-225-2911,B001294
Rep,David,Loebsack,D,IA,2,1,202-225-6576,L000565
Rep,David,Young,R,IA,3,1,202-225-5476,Y000066
Rep,Steve,King,R,IA,4,1,202-225-4426,K000362
Rep,Raúl,Labrador,R,ID,1,1,202-225-6611,L000573
Rep,Michael,Simpson,R,ID,2,1,202-225-5531,S001148
Rep,Bobby,Rush,D,IL,1,1,202-225-4372,R000515
Rep,Robin,Kelly,D,IL,2,1,202-225-0773,K000385
Rep,Daniel,Lipinski,D,IL,3,1,202-225-5701,L000563
Rep,Luis,Gutiérrez,D,IL,4,1,202-225-8203,G000535
Rep,Mike,Quigley,D,IL,5,1,202-225-4061,Q000023
Rep,Peter,Roskam,R,IL,6,1,202-225-4561,R000580
Rep,Danny,Davis,D,IL,7,1,202-225-5006,D000096
Rep,Tammy,Duckworth,D,IL,8,1,202-225-3711,D000622
Rep,Janice,Schakowsky,D,IL,9,1,202-225-2111,S001145
Rep,Robert,Dold,R,IL,10,1,202-225-4835,D000613
Rep,Bill,Foster,D,IL,11,1,202-225-3515,F000454
Rep,Mike,Bost,R,IL,12,1,202-225-5661,B001295
Rep,Rodney,Davis,R,IL,13,1,202-225-2371,D000619
Rep,Randy,Hultgren,R,IL,14,1,202-225-2976,H001059
Rep,John,Shimkus,R,IL,15,1,202-225-5271,S000364
Rep,Adam,Kinzinger,R,IL,16,1,202-225-3635,K000378
Rep,Cheri,Bustos,D,IL,17,1,202-225-5905,B001286
Rep,Peter,Visclosky,D,IN,1,1,202-225-2461,V000108
Rep,Jackie,Walorski,R,IN,2,1,202-225-3915,W000813
Rep,Marlin,Stutzman,R,IN,3,1,202-225-4436,S001188
Rep,Todd,Rokita,R,IN,4,1,202-225-5037,R000592
Rep,Susan,Brooks,R,IN,5,1,202-225-2276,B001284
Rep,Luke,Messer,R,IN,6,1,202-225-3021,M001189
Rep,André,Carson,D,IN,7,1,202-225-4011,C001072
Rep,Larry,Bucshon,R,IN,8,1,202-225-4636,B001275
Rep,Todd,Young,R,IN,9,1,202-225-5315,Y000064
Rep,Tim,Huelskamp,R,KS,1,1,202-225-2715,H001057
Rep,Lynn,Jenkins,R,KS,2,1,202-225-6601,J000290
Rep,Kevin,Yoder,R,KS,3,1,202-225-2865,Y000063
Rep,Mike,Pompeo,R,KS,4,1,202-225-6216,P000602
Rep,Brett,Guthrie,R,KY,2,1,202-225-3501,G000558
Rep,John,Yarmuth,D,KY,3,1,202-225-5401,Y000062
Rep,Thomas,Massie,R,KY,4,1,202-225-3465,M001184
Rep,Harold,Rogers,R,KY,5,1,202-225-4601,R000395
Rep,Andy,Barr,R,KY,6,1,202-225-4706,B001282
Rep,Steve,Scalise,R,LA,1,1,202-225-3015,S001176
Rep,Cedric,Richmond,D,LA,2,1,202-225-6636,R000588
Rep,Charles,Boustany,R,LA,3,1,202-225-2031,B001255
Rep,John,Fleming,R,LA,4,1,202-225-2777,F000456
Rep,Ralph,Abraham,R,LA,5,1,202-225-8490,A000374
Rep,Garret,Graves,R,LA,6,1,202-225-3901,G000577
Rep,Richard,Neal,D,MA,1,1,202-225-5601,N000015
Rep,James,McGovern,D,MA,2,1,202-225-6101,M000312
Rep,Niki,Tsongas,D,MA,3,1,202-225-3411,T000465
Rep,Joseph,Kennedy,D,MA,4,1,202-225-5931,K000379
Rep,Katherine,Clark,D,MA,5,1,202-225-2836,C001101
Rep,Seth,Moulton,D,MA,6,1,202-225-8020,M001196
Rep,Michael,Capuano,D,MA,7,1,202-225-5111,C001037
Rep,Stephen,Lynch,D,MA,8,1,202-225-8273,L000562
Rep,William,Keating,D,MA,9,1,202-225-3111,K000375
Rep,Andy,Harris,R,MD,1,1,202-225-5311,H001052
Rep,C.,Ruppersberger,D,MD,2,1,202-225-3061,R000576
Rep,John,Sarbanes,D,MD,3,1,202-225-4016,S001168
Rep,Donna,Edwards,D,MD,4,1,202-225-8699,E000290
Rep,Steny,Hoyer,D,MD,5,1,202-225-4131,H000874
Rep,John,Delaney,D,MD,6,1,202-225-2721,D000620
Rep,Elijah,Cummings,D,MD,7,1,202-225-4741,C000984
Rep,Chris,Van Hollen,D,MD,8,1,202-225-5341,V000128
Rep,Chellie,Pingree,D,ME,1,1,202-225-6116,P000597
Rep,Bruce,Poliquin,R,ME,2,1,202-225-6306,P000611
Rep,Dan,Benishek,R,MI,1,1,202-225-4735,B001271
Rep,Bill,Huizenga,R,MI,2,1,202-225-4401,H001058
Rep,Justin,Amash,R,MI,3,1,202-225-3831,A000367
Rep,John,Moolenaar,R,MI,4,1,202-225-3561,M001194
Rep,Daniel,Kildee,D,MI,5,1,202-225-3611,K000380
Rep,Fred,Upton,R,MI,6,1,202-225-3761,U000031
Rep,Tim,Walberg,R,MI,7,1,202-225-6276,W000798
Rep,Mike,Bishop,R,MI,8,1,202-225-4872,B001293
Rep,Sander,Levin,D,MI,9,1,202-225-4961,L000263
Rep,Candice,Miller,R,MI,10,1,202-225-2106,M001150
Rep,David,Trott,R,MI,11,1,202-225-8171,T000475
Rep,Debbie,Dingell,D,MI,12,1,202-225-4071,D000624
Rep,John,Conyers,D,MI,13,1,202-225-5126,C000714
Rep,Brenda,Lawrence,D,MI,14,1,202-225-5802,L000581
Rep,Timothy,Walz,D,MN,1,1,202-225-2472,W000799
Rep,John,Kline,R,MN,2,1,202-225-2271,K000363
Rep,Erik,Paulsen,R,MN,3,1,202-225-2871,P000594
Rep,Betty,McCollum,D,MN,4,1,202-225-6631,M001143
Rep,Keith,Ellison,D,MN,5,1,202-225-4755,E000288
Rep,Tom,Emmer,R,MN,6,1,202-225-2331,E000294
Rep,Collin,Peterson,D,MN,7,1,202-225-2165,P000258
Rep,Richard,Nolan,D,MN,8,1,202-225-6211,N000127
Rep,Wm.,Clay,D,MO,1,1,202-225-2406,C001049
Rep,Ann,Wagner,R,MO,2,1,202-225-1621,W000812
Rep,Blaine,Luetkemeyer,R,MO,3,1,202-225-2956,L000569
Rep,Vicky,Hartzler,R,MO,4,1,202-225-2876,H001053
Rep,Emanuel,Cleaver,D,MO,5,1,202-225-4535,C001061
Rep,Sam,Graves,R,MO,6,1,202-225-7041,G000546
Rep,Billy,Long,R,MO,7,1,202-225-6536,L000576
Rep,Jason,Smith,R,MO,8,1,202-225-4404,S001195
Rep,Gregorio,Sablan,D,MP,0,1,202-225-2646,S001177
Rep,Bennie,Thompson,D,MS,2,1,202-225-5876,T000193
Rep,Gregg,Harper,R,MS,3,1,202-225-5031,H001045
Rep,Steven,Palazzo,R,MS,4,1,202-225-5772,P000601
Rep,Ryan,Zinke,R,MT,0,1,202-225-3211,Z000018
Rep,G.,Butterfield,D,NC,1,1,202-225-3101,B001251
Rep,Renee,Ellmers,R,NC,2,1,202-225-4531,E000291
Rep,Walter,Jones,R,NC,3,1,202-225-3415,J000255
Rep,David,Price,D,NC,4,1,202-225-1784,P000523
Rep,Virginia,Foxx,R,NC,5,1,202-225-2071,F000450
Rep,Mark,Walker,R,NC,6,1,202-225-3065,W000819
Rep,David,Rouzer,R,NC,7,1,202-225-2731,R000603
Rep,Richard,Hudson,R,NC,8,1,202-225-3715,H001067
Rep,Robert,Pittenger,R,NC,9,1,202-225-1976,P000606
Rep,Patrick,McHenry,R,NC,10,1,202-225-2576,M001156
Rep,Mark,Meadows,R,NC,11,1,202-225-6401,M001187
Rep,Alma,Adams,D,NC,12,1,202-225-1510,A000370
Rep,George,Holding,R,NC,13,1,202-225-3032,H001065
Rep,Kevin,Cramer,R,ND,0,1,202-225-2611,C001096
Rep,Jeff,Fortenberry,R,NE,1,1,202-225-4806,F000449
Rep,Brad,Ashford,D,NE,2,1,202-225-4155,A000373
Rep,Adrian,Smith,R,NE,3,1,202-225-6435,S001172
Rep,Frank,Guinta,R,NH,1,1,202-225-5456,G000570
Rep,Ann,Kuster,D,NH,2,1,202-225-5206,K000382
Rep,Donald,Norcross,D,NJ,1,1,202-225-6501,N000188
Rep,Frank,LoBiondo,R,NJ,2,1,202-225-6572,L000554
Rep,Thomas,MacArthur,R,NJ,3,1,202-225-4765,M001193
Rep,Christopher,Smith,R,NJ,4,1,202-225-3765,S000522
Rep,Scott,Garrett,R,NJ,5,1,202-225-4465,G000548
Rep,Frank,Pallone,D,NJ,6,1,202-225-4671,P000034
Rep,Leonard,Lance,R,NJ,7,1,202-225-5361,L000567
Rep,Albio,Sires,D,NJ,8,1,202-225-7919,S001165
Rep,Bill,Pascrell,D,NJ,9,1,202-225-5751,P000096
Rep,Donald,Payne,D,NJ,10,1,202-225-3436,P000604
Rep,Rodney,Frelinghuysen,R,NJ,11,1,202-225-5034,F000372
Rep,Bonnie,Watson Coleman,D,NJ,12,1,202-225-5801,W000822
Rep,Michelle,Lujan Grisham,D,NM,1,1,202-225-6316,L000580
Rep,Stevan,Pearce,R,NM,2,1,202-225-2365,P000588
Rep,Ben,Luján,D,NM,3,1,202-225-6190,L000570
Rep,Dina,Titus,D,NV,1,1,202-225-5965,T000468
Rep,Mark,Amodei,R,NV,2,1,202-225-6155,A000369
Rep,Joseph,Heck,R,NV,3,1,202-225-3252,H001055
Rep,Cresent,Hardy,R,NV,4,1,202-225-9894,H001070
Rep,Lee,Zeldin,R,NY,1,1,202-225-3826,Z000017
Rep,Peter,King,R,NY,2,1,202-225-7896,K000210
Rep,Steve,Israel,D,NY,3,1,202-225-3335,I000057
Rep,Kathleen,Rice,D,NY,4,1,202-225-5516,R000602
Rep,Gregory,Meeks,D,NY,5,1,202-225-3461,M001137
Rep,Grace,Meng,D,NY,6,1,202-225-2601,M001188
Rep,Nydia,Velázquez,D,NY,7,1,202-225-2361,V000081
Rep,Hakeem,Jeffries,D,NY,8,1,202-225-5936,J000294
Rep,Yvette,Clarke,D,NY,9,1,202-225-6231,C001067
Rep,Jerrold,Nadler,D,NY,10,1,202-225-5635,N000002
Rep,Carolyn,Maloney,D,NY,12,1,202-225-7944,M000087
Rep,Charles,Rangel,D,NY,13,1,202-225-4365,R000053
Rep,Joseph,Crowley,D,NY,14,1,202-225-3965,C001038
Rep,José,Serrano,D,NY,15,1,202-225-4361,S000248
Rep,Eliot,Engel,D,NY,16,1,202-225-2464,E000179
Rep,Nita,Lowey,D,NY,17,1,202-225-6506,L000480
Rep,Sean,Maloney,D,NY,18,1,202-225-5441,M001185
Rep,Christopher,Gibson,R,NY,19,1,202-225-5614,G000564
Rep,Paul,Tonko,D,NY,20,1,202-225-5076,T000469
Rep,Elise,Stefanik,R,NY,21,1,202-225-4611,S001196
Rep,Richard,Hanna,R,NY,22,1,202-225-3665,H001051
Rep,Tom,Reed,R,NY,23,1,202-225-3161,R000585
Rep,John,Katko,R,NY,24,1,202-225-3701,K000386
Rep,Louise,Slaughter,D,NY,25,1,202-225-3615,S000480
Rep,Brian,Higgins,D,NY,26,1,202-225-3306,H001038
Rep,Chris,Collins,R,NY,27,1,202-225-5265,C001092
Rep,Steve,Chabot,R,OH,1,1,202-225-2216,C000266
Rep,Brad,Wenstrup,R,OH,2,1,202-225-3164,W000815
Rep,Joyce,Beatty,D,OH,3,1,202-225-4324,B001281
Rep,Jim,Jordan,R,OH,4,1,202-225-2676,J000289
Rep,Robert,Latta,R,OH,5,1,202-225-6405,L000566
Rep,Bill,Johnson,R,OH,6,1,202-225-5705,J000292
Rep,Bob,Gibbs,R,OH,7,1,202-225-6265,G000563
Rep,Marcy,Kaptur,D,OH,9,1,202-225-4146,K000009
Rep,Michael,Turner,R,OH,10,1,202-225-6465,T000463
Rep,Marcia,Fudge,D,OH,11,1,202-225-7032,F000455
Rep,Patrick,Tiberi,R,OH,12,1,202-225-5355,T000462
Rep,Tim,Ryan,D,OH,13,1,202-225-5261,R000577
Rep,David,Joyce,R,OH,14,1,202-225-5731,J000295
Rep,Steve,Stivers,R,OH,15,1,202-225-2015,S001187
Rep,James,Renacci,R,OH,16,1,202-225-3876,R000586
Rep,Jim,Bridenstine,R,OK,1,1,202-225-2211,B001283
Rep,Markwayne,Mullin,R,OK,2,1,202-225-2701,M001190
Rep,Frank,Lucas,R,OK,3,1,202-225-5565,L000491
Rep,Tom,Cole,R,OK,4,1,202-225-6165,C001053
Rep,Steve,Russell,R,OK,5,1,202-225-2132,R000604
